id,text,time,name,area,sex
4087836632430218,有谁想死的？想死的点赞,Tue Mar 21 20:34:24 +0800 2017,鸡巧儿,澳门,女
4107657658237879,能不能悄悄带走我，不要惊动我的父母，就像我从来不存在在这个世界一样。,Mon May 15 13:16:06 +0800 2017,我不是你的猫猫,北京,女
4063624299889177,突然想到《人间失格》里的一句话 我曾经无数次祈祷自己被人杀死 却从未有动过要杀人的念头 那是因为我觉得 这样做只会给他们幸福 对啊 让伤害过我的人活着吧 活着比死难多了 让他们受尽磨难吧 我始终相信因果报应,Sat Jan 14 01:03:14 +0800 2017,北河叁首,海外,女
4020643202077787,饭饭，有个姓乔英文名叫kimi的大男孩去你那边了哦。他会弹吉他会唱歌笑起来很好看呢。他有可爱的虎牙，有一个热血摇滚的梦，有一个rock的性格，笑起来嘴角坏坏但其实内心很暖好到不行。你见到他了一定会喜欢他的，希望他下辈子可以在一个普通家庭好好活着，哪怕我不再认识他。也没关系。,Sat Sep 17 10:31:43 +0800 2016,流花溪边落花飞,江苏 南京,女
4131738240322848,多少人 在 隔着屏幕哭呢,Fri Jul 21 00:03:43 +0800 2017,熊与予,安徽,女
4126260109687697,"你看,贴吧也封禁了,帖子也被删除了,只要关于一点轻生的话题都会被网络封禁,饭饭你看,我们这一部分的人,是不是本来就不允许被存在",Wed Jul 05 21:15:36 +0800 2017,超甜的吴秋秋,北京 东城区,女
4249044702217693,当你正在死去，突然间每个人都爱你。,Sat Jun 09 16:57:43 +0800 2018,林野鹿呢,福建,女
4242334498996368,割腕死不了 安眠药没有 跳楼太难看 其实都是借口 是我厌恶世界 却又贪生怕死,Tue May 22 04:33:46 +0800 2018,小白一穷二白,其他,女
4113069212527878,医生告诉我 我患了癌症 没几个月活了，我很开心的笑了 解脱了 休学 退房租 卖东西 打包行李去旅游 看过救赎了我的爱豆 拥抱过朝阳和黄昏 吃过很想吃的美食，然后 病情恶化 肿瘤影响着我的一切 我死了 这一生 结束了 没有遗憾 也没有愧疚 我恨的那些 大概也会因为癌症而烟消云散吧。这是我的梦，想。,Tue May 30 11:39:40 +0800 2017,___Flechazo,陕西,女
4113655563482046,“你出去运动运动 跟别人交流交流” 每次听到别人说这句话 我就觉得这天儿聊不下去了 ,Thu Jun 01 02:29:37 +0800 2017,·Phildel·,其他,男
4046514416269040,坚强的人早已自刎，脆弱的人还苟且偷生。,Sun Nov 27 19:54:40 +0800 2016,KyuRyoo,其他,男
4320686467763243,一整晚都没睡 好痛苦 我的朋友就算觉得我有问题了 有忧郁症 她们都选择无视 不想理忧郁时候的我,Mon Dec 24 09:36:31 +0800 2018,瑾年流殇yey_,海外,女
4079750890563983,很多人都在这下面说过想死，但最后都没有死，可是我知道他们是真的想过死的。,Mon Feb 27 13:04:32 +0800 2017,USETOOMACH,香港,女
4241486222196999,你说 这121万评论里 会不会有人已经不在人世,Sat May 19 20:23:01 +0800 2018,特立独行的猫yxy,山西,女
4074111670614329,白天越来越不爱说话 晚上越来越爱掉眼泪了,Sat Feb 11 23:36:18 +0800 2017,佳侬,其他,女
4264365870182349,我说的每一句话其实都是在说“救我”,Sat Jul 21 23:38:34 +0800 2018,和泉秀子·,湖北,女
